page,line,type,is_centered,range_start,range_end
1,1,'surah_name',1,1,
1,2,'ayah',1,1,5
1,3,'ayah',1,6,11
1,4,'ayah',1,12,17
1,5,'ayah',1,18,22
1,6,'ayah',1,23,27
1,7,'ayah',1,28,31
1,8,'ayah',1,32,36
2,1,'surah_name',1,2,
2,2,'basmallah',1,2,
2,3,'ayah',0,37,43
2,4,'ayah',0,44,48
2,5,'ayah',0,49,52
2,6,'ayah',0,53,57
2,7,'ayah',0,58,63
2,8,'ayah',0,64,68
3,1,'ayah',0,69,77
3,2,'ayah',0,78,86
3,3,'ayah',0,87,96
3,4,'ayah',0,97,104
3,5,'ayah',0,105,114
3,6,'ayah',0,115,122
3,7,'ayah',0,123,131
3,8,'ayah',0,132,140
3,9,'ayah',0,141,150
3,10,'ayah',0,151,159
3,11,'ayah',0,160,169
3,12,'ayah',0,170,178
3,13,'ayah',0,179,187
3,14,'ayah',0,188,195
3,15,'ayah',0,196,203
4,1,'ayah',0,204,211
4,2,'ayah',0,212,220
4,3,'ayah',0,221,229
4,4,'ayah',0,230,240
4,5,'ayah',0,241,249
4,6,'ayah',0,250,257
4,7,'ayah',0,258,265
4,8,'ayah',0,266,276
4,9,'ayah',0,277,286
4,10,'ayah',0,287,294
4,11,'ayah',0,295,303
4,12,'ayah',0,304,313
4,13,'ayah',0,314,323
4,14,'ayah',0,324,333
4,15,'ayah',0,334,343
5,1,'ayah',0,344,352
5,2,'ayah',0,353,360
5,3,'ayah',0,361,370
5,4,'ayah',0,371,380
5,5,'ayah',0,381,390
5,6,'ayah',0,391,401
5,7,'ayah',0,402,410
5,8,'ayah',0,411,419
5,9,'ayah',0,420,430
5,10,'ayah',0,431,439
5,11,'ayah',0,440,449
5,12,'ayah',0,450,458
5,13,'ayah',0,459,467
5,14,'ayah',0,468,478
5,15,'ayah',0,479,487
6,1,'ayah',0,488,497
6,2,'ayah',0,498,506
6,3,'ayah',0,507,517
6,4,'ayah',0,518,526
6,5,'ayah',0,527,536
6,6,'ayah',0,537,547
6,7,'ayah',0,548,556
6,8,'ayah',0,557,566
6,9,'ayah',0,567,576
6,10,'ayah',0,577,586
6,11,'ayah',0,587,596
6,12,'ayah',0,597,604
6,13,'ayah',0,605,612
6,14,'ayah',0,613,623
6,15,'ayah',0,624,633
7,1,'ayah',0,634,643
7,2,'ayah',0,644,653
7,3,'ayah',0,654,662
7,4,'ayah',0,663,670
7,5,'ayah',0,671,679
7,6,'ayah',0,680,689
7,7,'ayah',0,690,699
7,8,'ayah',0,700,708
7,9,'ayah',0,709,716
7,10,'ayah',0,717,725
7,11,'ayah',0,726,735
7,12,'ayah',0,736,744
7,13,'ayah',0,745,753
7,14,'ayah',0,754,763
7,15,'ayah',0,764,773
8,1,'ayah',0,774,781
8,2,'ayah',0,782,788
8,3,'ayah',0,789,797
8,4,'ayah',0,798,806
8,5,'ayah',0,807,814
8,6,'ayah',0,815,825
8,7,'ayah',0,826,833
8,8,'ayah',0,834,841
