page,line,type,is_centered,range_start,range_end
1,1,'surah_name',1,1,
1,2,'ayah',1,1,5
1,3,'ayah',1,6,10
1,4,'ayah',1,11,17
1,5,'ayah',1,18,23
1,6,'ayah',1,24,29
1,7,'ayah',1,30,33
1,8,'ayah',1,34,36
2,1,'surah_name',1,2,
2,2,'basmallah',1,2,
2,3,'ayah',1,37,44
2,4,'ayah',1,45,51
2,5,'ayah',1,52,59
2,6,'ayah',1,60,68
2,7,'ayah',1,69,74
2,8,'ayah',1,75,77
3,1,'ayah',0,78,86
3,2,'ayah',0,87,96
3,3,'ayah',0,97,104
3,4,'ayah',0,105,114
3,5,'ayah',0,115,122
3,6,'ayah',0,123,131
3,7,'ayah',0,132,141
3,8,'ayah',0,142,150
3,9,'ayah',0,151,160
3,10,'ayah',0,161,170
3,11,'ayah',0,171,180
3,12,'ayah',0,181,190
3,13,'ayah',0,191,199
3,14,'ayah',0,200,207
3,15,'ayah',0,208,215
4,1,'ayah',0,216,224
4,2,'ayah',0,225,234
4,3,'ayah',0,235,245
4,4,'ayah',0,246,254
4,5,'ayah',0,255,263
4,6,'ayah',0,264,273
4,7,'ayah',0,274,283
4,8,'ayah',0,284,292
4,9,'ayah',0,293,301
4,10,'ayah',0,302,310
4,11,'ayah',0,311,320
4,12,'ayah',0,321,330
4,13,'ayah',0,331,339
4,14,'ayah',0,340,349
4,15,'ayah',0,350,357
5,1,'ayah',0,358,365
5,2,'ayah',0,366,374
5,3,'ayah',0,375,384
5,4,'ayah',0,385,392
5,5,'ayah',0,393,402
5,6,'ayah',0,403,410
5,7,'ayah',0,411,418
5,8,'ayah',0,419,426
5,9,'ayah',0,427,435
5,10,'ayah',0,436,446
5,11,'ayah',0,447,453
5,12,'ayah',0,454,459
5,13,'ayah',0,460,468
5,14,'ayah',0,469,478
5,15,'ayah',0,479,487
6,1,'ayah',0,488,496
6,2,'ayah',0,497,505
6,3,'ayah',0,506,515
6,4,'ayah',0,516,524
6,5,'ayah',0,525,533
6,6,'ayah',0,534,544
6,7,'ayah',0,545,553
6,8,'ayah',0,554,563
6,9,'ayah',0,564,572
6,10,'ayah',0,573,581
6,11,'ayah',0,582,591
6,12,'ayah',0,592,601
6,13,'ayah',0,602,610
6,14,'ayah',0,611,621
6,15,'ayah',0,622,633
7,1,'ayah',0,634,643
7,2,'ayah',0,644,653
7,3,'ayah',0,654,662
7,4,'ayah',0,663,671
7,5,'ayah',0,672,679
7,6,'ayah',0,680,690
7,7,'ayah',0,691,699
7,8,'ayah',0,700,707
7,9,'ayah',0,708,715
7,10,'ayah',0,716,723
7,11,'ayah',0,724,731
7,12,'ayah',0,732,741
7,13,'ayah',0,742,750
7,14,'ayah',0,751,762
7,15,'ayah',0,763,773
8,1,'ayah',0,774,781
8,2,'ayah',0,782,788
8,3,'ayah',0,789,797
8,4,'ayah',0,798,806
8,5,'ayah',0,807,815
8,6,'ayah',0,816,825
8,7,'ayah',0,826,833
8,8,'ayah',0,834,841
