surah_number,ayah_number,word_number,word_number_all,uthmani,nastaleeq,indopak,dk_indopak,qpc_v1,dk_v2,dk_v1,qpc_hafs,is_ayah_marker
1,1,1,1,'بِسْمِ','بِسْمِ','بِسْمِ','بِسْمِ','ﭑ','بِسْمِ','بِسْمِ','بِسۡمِ',0
1,1,2,2,'ٱللَّهِ','اللّٰهِ','اللّٰهِ','اللّٰهِ','ﭒ','ٱللَّهِ','ٱللَّهِ','ٱللَّهِ',0
1,1,3,3,'ٱلرَّحْمَـٰنِ','الرَّحْمٰنِ','الرَّحْمٰنِ','الرَّحْمٰنِ','ﭓ','ٱلرَّحْمَٰنِ','ٱلرَّحْمَٰنِ','ٱلرَّحۡمَٰنِ',0
1,1,4,4,'ٱلرَّحِيمِ','الرَّحِيْمِ','الرَّحِیْمِ','الرَّحِيْمِ','ﭔ','ٱلرَّحِيمِ','ٱلرَّحِيمِ','ٱلرَّحِيمِ',0
1,1,5,5,'١','١','۟','۝','ﭕ','۝١','۝١','١',1
1,2,1,6,'ٱلْحَمْدُ','اَلْحَمْدُ','اَلْحَمْدُ','اَلْحَمْدُ','ﭖ','ٱلْحَمْدُ','ٱلْحَمْدُ','ٱلۡحَمۡدُ',0
1,2,2,7,'لِلَّهِ','لِلّٰهِ','لِلّٰهِ','لِلّٰهِ','ﭗ','لِلَّهِ','لِلَّهِ','لِلَّهِ',0
1,2,3,8,'رَبِّ','رَبِّ','رَبِّ','رَبِّ','ﭘ','رَبِّ','رَبِّ','رَبِّ',0
1,2,4,9,'ٱلْعَـٰلَمِينَ','الْعٰلَمِيْنَ','الْعٰلَمِیْنَ','الْعٰلَمِيْنَ','ﭙ','ٱلْعَٰلَمِينَ','ٱلْعَٰلَمِينَ','ٱلۡعَٰلَمِينَ',0
1,2,5,10,'٢','٢ﶫ','۟ۙ','۝١ۙ','ﭚ','۝٢','۝٢','٢',1
1,3,1,11,'ٱلرَّحْمَـٰنِ','الرَّحْمٰنِ','الرَّحْمٰنِ','الرَّحْمٰنِ','ﭛ','ٱلرَّحْمَٰنِ','ٱلرَّحْمَٰنِ','ٱلرَّحۡمَٰنِ',0
1,3,2,12,'ٱلرَّحِيمِ','الرَّحِيْمِ','الرَّحِیْمِ','الرَّحِيْمِ','ﭜ','ٱلرَّحِيمِ','ٱلرَّحِيمِ','ٱلرَّحِيمِ',0
1,3,3,13,'٣','٣ﶫ','۟ۙ','۝٢ۙ','ﭝ','۝٣','۝٣','٣',1
